,ID,Population,Location,Taxon,CL,CorneaA,EyestalkW,Cornea.EW,CorneaW,CorneaA.EW.CL,CorneaW.EW,CorneaW.EW.CL,EyestalkLength,Crest Angle,Concave Angle,Eyestalk Gap,MaCPropodusL,MaCPropodusH,MaCCarpusL,MaCCarpusH,MaCPollexH,MaCDactylH,MaCPollexDactyl Gap,MaCCleftWidth,MaCPropodusL.CL,MaCPropodusL.PropodusH,MaCCleftWidth.CL,MaCPropodusH.CL,MaCCarpuL.CL,MaCCarpusH.CL,MaCPollexH.CL,MaCDactyl.CL,MaCGap.CL,WL1PollexH,WL1DactylH,WL1PropodusL,WL1CarpusH,WL1CarpusPropodusGap,WL1CarpusL,WL1CarpusA,WL1MerusH,WL1HairL,WL1PollexH.DactylH,WL1PropodusL.CL,WL1CarpusH.CL,WL1Gap.CL,WL1MerusH.CL,WL1HairL.CL,WL1PollexH.DactylH.CL,MiCPropodusL,MiCPropodusH,MiCCarpusH,MiCCarpusL,MiCDactylH,MiCPollexH,MiCMerusH,MiCPropodusL.CL,MiCPropodusH.CL,MiCCarpusH.CL,MiCCarpusL.CL,MiCDactylH.CL,MiCPollexH.CL,MiCMerusH.CL,WL2PropodusL,WL2PropodusH,WL2PollexL,WL2PollexW,WL2CarpusW,WL2CarpusL,WL2MerusW,WL2PropodusL.CL,PropodusH.CL,WL2PollexL.CL,WL2PollexW.CL,WL2CarpusW.CL,WL2CarpusL.CL,MerusW.CL
42,B26,Offshore,Offshore,Probably gigas,9.123,0.262,0.998,0.26252505,0.546,0.028776176,0.547094188,0.059968671,1.055,127.352,156.472,0.564,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.301,1.854,1.992,6.667,0.912,0.778,2.154,0.690671928,0.203222624,0.218349227,0.73079031,0.099967116,0.085278965,0.236106544,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43,B30,Offshore,Offshore,Probably gigas,9.771,0.244,0.846,0.288416076,0.462,0.02951756,0.546099291,0.055889806,1.45,107.155,154.613,0.583,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.279,0.87,3.525,2.106,0.405,3.873,46.361,2.02,4.218,1.470114943,0.360761437,0.215535769,0.041449186,0.206734213,0.4316856,0.150456959,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,B31,Offshore,Offshore,Probably gigas,23.395,0.445,1.706,0.26084408,0.665,0.011149565,0.389800703,0.01666171,3.292,171.312,175.342,1.307,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.191,4.216,NA,NA,2.241,1.858,NA,0.478350075,0.180209446,NA,NA,0.095789699,0.079418679,NA,8.355,4.357,3.524,1.438,3.876,7.372,3.001,0.357127591,0.186236375,0.150630477,0.061466125,0.165676427,0.315110066,0.128275272
45,B36.01,Offshore,Offshore,Probably gigas,20.19,0.314,1.405,0.223487544,0.556,0.01106922,0.395729537,0.019600274,2.823,124.466,171.554,0.929,20.254,10.752,14.588,10.329,3.854,4.865,0.514,1.013,1.003169886,1.88374256,0.050173353,0.532540862,0.722535909,0.511589896,0.190886578,0.240960872,0.025458148,2.044,1.521,5.455,3.934,0.611,6.585,39.131,3.448,7.591,1.343852728,0.270183259,0.194848935,0.030262506,0.170777613,0.375978207,0.066560313,9.98,2.95,3.284,12.395,1.222,1.532,3.482,0.494304111,0.146111937,0.16265478,0.613917781,0.060525012,0.075879148,0.172461615,7.306,3.573,2.625,1.127,4.031,6.953,2.65,0.4236305,0.207176537,0.152207783,0.653478748,0.233733171,0.403162177,0.153657381
46,B36,Offshore,Offshore,Probably gigas,19.567,0.379,1.308,0.289755352,0.535,0.014808369,0.409021407,0.020903634,2.5,118.072,146.424,1.201,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.783,3.445,2.671,1.083,3.318,6.245,2.373,0.346655083,0.176061737,0.136505341,0.05534829,0.169571217,0.31915981,0.121275617
47,B39,Offshore,Offshore,Probably gigas,22.68,0.38,1.593,0.238543628,0.563,0.010517797,0.353421218,0.015582946,3.061,124.329,170.55,0.954,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.129,1.418,5.922,3.691,0.563,7.483,37.862,NA,NA,1.501410437,0.261111111,0.162742504,0.024823633,NA,NA,0.066199755,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.77,3.69,2.685,1.22,3.545,6.098,2.492,0.298500882,0.162698413,0.118386243,0.053791887,0.156305115,0.268871252,0.109876543
48,B27,Offshore,Offshore,Probably gigas,6.435,0.222,0.98,0.226530612,0.634,0.035202892,0.646938776,0.100534386,1.082,119.055,142.725,0.514,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.173,0.769,3.117,1.943,0.374,4.066,40.892,1.87,4.439,1.525357607,0.484382284,0.301942502,0.058119658,0.290598291,0.68982129,0.237040809,5.48,1.543,1.881,6.562,0.754,0.578,1.82,0.851592852,0.23978244,0.292307692,1.01973582,0.117171717,0.08982129,0.282828283,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
49,B28,Offshore,Offshore,Probably gigas,18.893,0.27,1.686,0.160142349,0.607,0.00847628,0.360023725,0.019055932,2.095,129.52,172.319,0.88,11.547,6.155,6.732,5.742,1.814,2.729,0.458,0.525,0.611178743,1.876035743,0.02778807,0.325782036,0.356322447,0.303922088,0.096014397,0.144445033,0.024241783,1.967,1.352,4.905,3.566,0.695,6.117,47.383,3.068,6.44,1.454881657,0.259619965,0.188747155,0.036786111,0.162388186,0.340866988,0.077006386,9.287,2.761,3.042,5.963,1.354,1.16,1.857,0.49155772,0.146138782,0.161012015,0.315619542,0.071666755,0.061398402,0.098290372,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,B29,Offshore,Offshore,Probably gigas,5.428,0.131,0.568,0.230633803,0.349,0.042489647,0.61443662,0.113197609,0.867,119.961,163.922,0.274,7.599,4.415,5.18,4.166,1.471,2.21,0,0.331,1.399963154,1.721177803,0.060980103,0.813375092,0.95431098,0.767501842,0.271002211,0.407148121,0,1.318,0.966,3.41,2.13,0.399,3.962,50.159,NA,NA,1.364389234,0.628224024,0.392409727,0.073507738,NA,NA,0.251361318,3.055,1.183,1.296,2.932,0.478,0.435,0.516,0.562822402,0.217943994,0.238761975,0.540162122,0.088061901,0.080140015,0.095062638,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51,B107,Offshore,Offshore,Probably gigas,24.098,0.513,1.772,0.289503386,0.658,0.012013586,0.371331828,0.015409238,3.283,117.589,154.183,0.681,24.453,11.888,18.396,11.624,4.008,6.748,0.42,1.157,1.014731513,2.056948183,0.048012283,0.493318948,0.763382853,0.482363682,0.166320857,0.280023238,0.017428832,2.596,1.596,6.457,4.375,0.727,7.923,41.834,3.903,5.139,1.626566416,0.267947548,0.181550336,0.030168479,0.161963648,0.213254212,0.067497984,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.036,4.105,2.872,1.334,3.826,6.686,2.876,0.333471657,0.170346087,0.119180015,0.055357291,0.158768363,0.277450411,0.119346004
52,B40,Offshore,Offshore,Probably gigas,21.351,0.34,1.867,0.182110337,0.642,0.008529359,0.343867167,0.016105436,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
53,B42,Offshore,Offshore,Probably gigas,20.769,0.441,1.806,0.244186047,0.725,0.011757237,0.401439646,0.01932879,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
54,B55,Offshore,Offshore,Probably gigas,16.544,0.453,1.461,0.310061602,0.676,0.018741635,0.462696783,0.027967649,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55,B61,Offshore,Offshore,Probably gigas,19.258,0.458,1.466,0.312414734,0.678,0.016222595,0.462482947,0.024015108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56,B62,Offshore,Offshore,Probably gigas,22.063,0.442,1.749,0.252715838,0.693,0.011454283,0.396226415,0.017958864,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57,B66,Offshore,Offshore,Probably gigas,13.743,0.364,1.378,0.264150943,0.568,0.019220763,0.412191582,0.029992839,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
58,B78,Offshore,Offshore,Probably gigas,21.365,0.488,1.722,0.283391405,0.617,0.013264283,0.358304297,0.01677062,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
59,B82,Offshore,Offshore,Probably gigas,22.258,0.372,1.745,0.213180516,0.671,0.009577703,0.384527221,0.017275911,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
60,B83,Offshore,Offshore,Probably gigas,22.301,0.27,1.942,0.139031926,0.622,0.006234336,0.320288363,0.014362063,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
61,B84,Offshore,Offshore,Probably gigas,8.801,0.211,1.749,0.120640366,0.953,0.013707575,0.54488279,0.061911463,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.254,1.108,3.578,2.131,0.266,4.855,40.972,NA,NA,1.131768953,0.347378641,0.206893204,0.025825243,NA,NA,0.109880481,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
62,B85,Offshore,Offshore,Probably gigas,5.648,0.147,0.611,0.240589198,0.384,0.042597238,0.628477905,0.111274417,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
63,B180,Offshore,Offshore,Probably gigas,21.356,0.302,1.815,0.166391185,0.565,0.007791309,0.311294766,0.014576455,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
64,B181,Offshore,Offshore,Probably gigas,25.073,0.332,1.892,0.175475687,0.637,0.006998592,0.336680761,0.013428021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
65,B183,Offshore,Offshore,Probably gigas,19.466,0.443,1.705,0.259824047,0.74,0.013347583,0.434017595,0.022296188,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
66,B49,Offshore,Offshore,Probably gigas,16.296,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.976,6.265,6.685,5.692,2.356,2.748,0,0.306,0.673539519,1.751955307,0.018777614,0.384450172,0.410223368,0.349288169,0.144575356,0.168630339,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
67,B47,Offshore,Offshore,Probably gigas,21.447,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.861,9.637,13.369,10.053,3.338,3.444,0,0.773,0.832797128,1.853377607,0.036042337,0.449340234,0.623350585,NA,0.155639483,0.1605819,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.405,3.126,1.452,1.452,3.806,7.104,2.593,0.345269735,0.145754651,0.067701776,0.067701776,0.177460717,0.331235138,0.12090269
68,B54,Offshore,Offshore,Probably gigas,16.911,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.908,8.981,12.742,7.311,2.938,3.607,0.213,0.851,0.999822601,1.882641131,0.050322275,0.531074449,0.75347407,0.432322157,0.173733073,0.213293123,0.012595352,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.565,2.901,2.247,1.259,3.101,6.304,2.359,0.388208858,0.171545148,0.132872095,0.074448584,0.18337177,0.372775117,0.139495003
69,C18,EstCaliforniensis,Estuary,N. californiensis,12.164,0.196,1.014,0.193293886,NA,0.015890652,NA,NA,2.07,130.564,167.227,0.668,10.966,8.274,8.653,8.314,2.082,3.383,1.289,1.208,0.90151266,1.325356539,0.099309438,0.68020388,0.711361394,0.683492272,0.171160802,0.278115751,0.105968431,1.357,1.295,3.68,2.364,0.325,5.277,41.267,2.117,4.525,1.047876448,0.302532062,0.194343966,0.026718185,0.174038145,0.371999342,0.086145713,6.471,2.696,2.641,7.302,1.312,1.222,2.351,0.531979612,0.221637619,0.21711608,0.600295955,0.107859257,0.100460375,0.193275238,4.837,2.536,1.866,0.869,2.244,4.362,1.858,0.3976488,0.208484051,0.153403486,0.071440316,0.18447879,0.358599145,0.152745807
70,C19,EstCaliforniensis,Estuary,N. californiensis,14.581,0.227,1.263,0.1797308,NA,0.01232637,NA,NA,2.385,135.162,168.538,0.451,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.449,1.295,4.47,2.665,0.42,5.929,40.943,2.4,5.547,1.118918919,0.306563336,0.182772101,0.028804609,0.164597764,0.380426583,0.076738147,7.06,3.517,3.702,8.767,1.513,1.343,2.972,0.484191756,0.241204307,0.253892051,0.601261916,0.103765174,0.092106166,0.203826898,6.087,2.968,2.063,0.97,2.891,5.524,2.254,0.417461079,0.203552568,0.141485495,0.06652493,0.198271723,0.378849187,0.154584734
71,C20,EstCaliforniensis,Estuary,N. californiensis,13.11,0.126,1.374,0.091703057,NA,0.006994894,NA,NA,2.388,136.518,161.682,0.323,11.243,8.923,8.925,9.013,2.768,3.217,0,1.071,0.857589626,1.260002241,0.081693364,0.680625477,0.680778032,0.687490465,0.211136537,0.245385202,0,1.353,1.151,3.847,2.341,0.329,5.804,35.609,2.396,5.6,1.175499566,0.293440122,0.17856598,0.025095347,0.182761251,0.427154844,0.089664345,6.68,2.845,2.96,7.625,1.398,1.265,3.011,0.509534706,0.217009916,0.225781846,0.581617086,0.106636156,0.096491228,0.229672006,4.798,2.62,2.544,0.978,2.517,4.899,2.126,0.365980168,0.199847445,0.194050343,0.074599542,0.191990847,0.373684211,0.162166285
72,C34,EstCaliforniensis,Estuary,N. californiensis,3.413,0.082,0.441,0.185941043,NA,0.054480235,NA,NA,0.615,109.167,142.548,0.133,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.341,0.293,1.073,0.591,0.073,1.245,44.53,0.616,1.404,1.163822526,0.314386171,0.173161442,0.021388808,0.180486376,0.411368298,0.340996931,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
73,C27,EstCaliforniensis,Estuary,N. californiensis,8.392,0.169,0.814,0.207616708,NA,0.024739836,NA,NA,1.398,125.249,178.889,0.208,6.924,3.917,4.569,4.188,1.099,1.4,0,0.265,33.28846154,1.767679346,1.274038462,18.83173077,21.96634615,20.13461538,5.283653846,6.730769231,0,0.703,0.839,2.474,1.414,0.178,3.26,38.572,1.328,4.258,0.837902265,0.294804576,0.168493804,0.021210677,0.158245949,0.507387989,0.09984536,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.144,1.687,1.468,0.277,1.587,2.814,1.226,0.374642517,0.201024786,0.174928503,0.033007626,0.189108675,0.335319352,0.146091516
74,C28,EstCaliforniensis,Estuary,N. californiensis,9.033,0.157,1.1,0.142727273,NA,0.01580065,NA,NA,1.789,140.382,150.202,0.371,6.878,3.809,5.343,3.731,1.451,1.121,0,0.285,18.53908356,1.805723287,0.76819407,10.26684636,14.40161725,10.05660377,3.911051213,3.021563342,0,0.926,0.913,2.814,1.765,0.233,4.009,40.642,1.645,4.342,1.014238773,0.31152441,0.195394664,0.25161987,0.182110041,0.480681944,0.112281498,5.462,2.041,2.168,5.741,0.987,0.835,1.63,0.604671759,0.225949297,0.240008856,0.635558508,0.109266025,0.092438835,0.180449463,3.449,1.843,1.728,0.384,1.815,3.113,1.376,0.381822207,0.204029669,0.191298572,0.042510794,0.200929924,0.344625263,0.152330344
75,C88,EstCaliforniensis,Estuary,N. californiensis,10.1,0.34,1.085,0.313364055,0.507,0.031026144,0.467281106,0.046265456,2.225,124.33,170.744,0.667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.666,2.439,2.076,1.217,2.16,4.439,1.823,0.461980198,0.241485149,0.205544554,0.12049505,0.213861386,0.43950495,0.18049505
76,C85,EstCaliforniensis,Estuary,N. californiensis,7.4,0.15,0.754,0.198938992,0.414,0.026883648,0.549071618,0.074198867,1.297,117.96,168.945,0.326,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.936,0.576,2.247,1.333,0.55,3.023,49.796,NA,NA,1.625,0.303648649,0.180135135,0.074324324,NA,NA,0.219594595,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
77,C76,EstCaliforniensis,Estuary,N. californiensis,17.018,0.222,1.529,0.145192937,0.634,0.008531727,0.414650098,0.024365384,2.55,113.361,NA,1.209,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.906,1.305,5.1,3.227,0.742,6.575,75.775,NA,NA,1.460536398,0.299682689,0.189622752,0.043600893,NA,NA,0.085823034,10.13,4.24,4.488,10.292,1.675,1.577,3.374,0.993137255,0.415686275,0.44,1.009019608,0.164215686,0.154607843,0.330784314,6.846,3.771,2.914,1.333,3.428,6.322,2.976,0.402279939,0.221588906,0.171230462,0.078328828,0.201433776,0.371489012,0.174873663
78,C22,EstCaliforniensis,Estuary,N. californiensis,9,0.128,0.956,0.133891213,0.342,0.014876801,0.357740586,0.039748954,1.521,141.936,179.777,0.216,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.09,0.927,2.841,2.008,0.443,4.464,35.705,NA,NA,1.17583603,0.315666667,0.223111111,0.049222222,NA,NA,0.130648448,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.782,1.996,1.496,0.736,1.909,3.806,1.52,0.420222222,0.221777778,0.166222222,0.081777778,0.212111111,0.422888889,0.168888889
79,C21,EstCaliforniensis,Estuary,N. californiensis,11.1,0.182,0.939,0.193823216,0.468,0.017461551,0.498402556,0.044901131,1.685,131.791,159.697,0.501,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
80,C35,EstCaliforniensis,Estuary,N. californiensis,7.4,0.164,0.732,0.224043716,0.46,0.030276178,0.628415301,0.084920987,1.194,116.437,178.716,0.222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
81,C23,EstCaliforniensis,Estuary,N. californiensis,9.3,0.187,1.095,0.170776256,0.44,0.018363038,0.401826484,0.043207149,1.891,140.37,177.192,0.298,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
82,C25,EstCaliforniensis,Estuary,N. californiensis,8.4,0.137,0.895,0.153072626,0.383,0.018222932,0.427932961,0.0509444,1.428,137.079,174.897,0.368,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
83,C32,EstCaliforniensis,Estuary,N. californiensis,8.2,0.153,0.652,0.234662577,0.383,0.028617387,0.587423313,0.071636989,1.386,130.508,175.159,0.238,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.046,0.628,2.498,1.608,0.344,3.253,48.972,NA,NA,1.665605096,0.304634146,0.196097561,0.04195122,NA,NA,0.203122573,4.614,1.785,1.879,4.853,0.812,0.696,1.65,0.562682927,0.217682927,0.229146341,0.591829268,0.09902439,0.084878049,0.201219512,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
84,C31,EstCaliforniensis,Estuary,N. californiensis,10.4,0.163,1.082,0.15064695,0.42,0.014485284,0.388170055,0.037324044,1.748,131.499,173.804,0.423,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
85,C84,EstCaliforniensis,Estuary,N. californiensis,10.3,0.143,1.234,0.115883306,0.417,0.011250806,0.337925446,0.032808296,1.77,129.951,162.923,0.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
